"evidence_id","citation_key","stream","evidence_type","full_text_status","source_table","claim_level","decision_interface","point_in_time","uncertainty","context_portability","action_feasibility","opportunity_set","evaluation","reproducibility_auditability","manuscript_use","notes"
"OA05","Cervone2016","on-court action","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:TR01; 03-synergy-evidence.csv:A01","prediction","state-to-outcome","partial","partial","partial","partial","no","partial","partial","On-court action; Figure 3; Figure 4","Possession-value prediction supports action comparison but does not identify unchosen-action effects."
"OA06","Sandholtz2020","on-court action","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:TR02; 03-synergy-evidence.csv:A03","constrained prescription","state-to-action","partial","partial","partial","partial","no","partial","yes","On-court action and Figure 4","Transition model evaluates observed on-court decisions; uncommon or unchosen actions and deployment remain bounded."
"OA07","Jutamulia2025","on-court action","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:TR03; 03-synergy-evidence.csv:A05","measurement","state-to-action","partial","partial","partial","partial","no","partial","partial","On-court action and Figure 4","Expected action value enumerates immediate pass and shot alternatives and measures decision skill; the comparisons are predictive rather than causal or prospectively evaluated."
"PV01","FearnheadTaylor2011","player value","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:PV01","measurement","observation-to-state","no","yes","partial","not applicable","not applicable","not applicable","partial","Player-value synthesis and Figure 4","Posterior offense/defense contribution in observed lineups; future team-switch portability is not tested."
"PV02","Sill2010","player value","full conference paper","FULL_TEXT","02-player-value-role-evidence.csv:PV02","prediction","state-to-outcome","partial","no","partial","not applicable","not applicable","partial","partial","Player-value synthesis and Figure 4","Conditional held-out game-margin prediction; coefficients fitted before the March-April 2009 test games, but realized lineups and possession counts enter predictions (pp. 3-6). No prospective decision evaluation."
"PV03","DeshpandeJensen2016","player value","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:PV04","measurement","observation-to-state","not applicable","yes","not applicable","not applicable","not applicable","not applicable","yes","Player-value synthesis and Figure 4","Retrospective, context-dependent contribution to winning, explicitly not future player performance (Sections 1 and 7). Internal win-probability estimation does not validate a player-contribution forecast."
"PV04","Barrientos2023","player value","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:PV07","measurement","state-to-ranking","partial","yes","partial","not applicable","not applicable","not applicable","yes","Player-value synthesis and Figure 4","Makes uncertainty in rankings explicit; not a team-specific choice evaluation."
"PV05","FranksMeta2016","player value","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:PV05","measurement","metric-to-state audit","partial","yes","partial","not applicable","not applicable","not applicable","yes","Player-value synthesis","Assesses discrimination, stability, and independence of sports metrics; supplies diagnostic context rather than direct causal evidence."
"PV06","Ghimire2020","player value","primary empirical study","FULL_TEXT","02-player-value-role-evidence.csv:PV06","causal or counterfactual estimation","teammate context-to-impact metric","no","partial","partial","not applicable","not applicable","partial","yes","Player-value synthesis and Figure 4 causal/counterfactual boundary","FE/IV specifications examine teammate effects on RPM; instrument validity and selection remain assumptions, and a portable player effect is not identified."
"RO01","SkinnerGuy2015","role / capability","methodological study","FULL_TEXT","03-synergy-evidence.csv:S04","prediction","observation-to-state","partial","partial","partial","not applicable","not applicable","partial","yes","Role synthesis; Figure 3; Figure 4","Tracking-oriented skill model demonstrated on 780 hand-coded sequences from three 2011 playoff games; limited cross-lineup checks, not broad team-switch validation (Section 5 and Methods)."
"RO02","Muniz2022","role / capability","methodological study","FULL_TEXT","02-player-value-role-evidence.csv:RO03; 06-contract-roster-evidence.csv:C18","measurement","observation-to-state","yes","partial","yes","not applicable","not applicable","not applicable","yes","Role synthesis; Figure 3; roster synthesis; Figure 4","Recovers stable player archetypes across seasons; clusters do not identify causal role assignments."
"SY01","Maymin2013","synergy / lineup","methodological study","FULL_TEXT","03-synergy-evidence.csv:S01","constrained prescription","state-to-action","no","partial","partial","partial","partial","partial","partial","Synergy synthesis and Figure 4","Pairwise chemistry and simulated trades; lineup selection and market availability are not identified."
"SY02","Arcidiacono2017","synergy / lineup","primary empirical study","FULL_TEXT","03-synergy-evidence.csv:S02","causal or counterfactual estimation","teammate configuration-to-production","no","yes","partial","partial","partial","partial","partial","Synergy synthesis and Figure 4","Structural spillover estimates and alternative-team comparisons depend on conditional exogeneity; substitution robustness does not identify a deployed lineup effect."
"SY03","Kuehn2017","synergy / lineup","methodological study","FULL_TEXT","03-synergy-evidence.csv:S03","constrained prescription","state-to-action","no","partial","no","partial","partial","partial","no","Synergy synthesis and Figure 4","Lineup-specific marginal values and model-based trade comparisons depend on the possession model; one-season fit, selection, and unclear provenance restrict deployment claims. Candidate alternatives are enumerated within the model; the retained evidence record does not establish actual market availability."
"SY04","DevlinUminsky2020","synergy / lineup","methodological study","FULL_TEXT","03-synergy-evidence.csv:S06","measurement","observation-to-state","no","no","no","not applicable","no","not applicable","yes","Synergy synthesis and Figure 4","Decomposes observed lineup performance; no predictive or intervention validation."
"SY05","Martonosi2023","synergy / lineup","methodological study","FULL_TEXT","03-synergy-evidence.csv:S09","prediction","state-to-outcome","yes","partial","partial","partial","no","partial","partial","Synergy synthesis and Figure 4","Time-ordered unseen-lineup prediction, but evaluation is conditioned on lineups coaches later used."
"SY06","Fewell2012","synergy / lineup","primary empirical study","FULL_TEXT","03-synergy-evidence.csv:S15","measurement","observation-to-state","no","partial","partial","not applicable","not applicable","not applicable","partial","Synergy synthesis; Figure 3","Strategic passing networks describe team process; they do not validate a lineup or tactical intervention."
"AV01","Drakos2010","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A01","measurement","observation-to-state","no","partial","no","partial","not applicable","not applicable","no","Availability synthesis and Figure 4","Internal surveillance measures diagnosed injury burden and participation loss; it does not measure complete workload capacity. The no code concerns restricted public reproducibility; it does not establish the absence of internal auditability."
"AV02","Mack2019","availability","methodological study","FULL_TEXT","04-availability-evidence.csv:A02","measurement","data-to-state governance","yes","not applicable","partial","yes","not applicable","not applicable","no","Availability synthesis; Figure 3; data-access boundary","Standardizes internal injury, illness, and participation records; raw-data access is a replication boundary, not itself a maturity penalty. The no code concerns restricted public reproducibility; the source describes an internally audited record system."
"AV03","Teramoto2017","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A08","measurement","exposure-to-state","partial","partial","no","partial","not applicable","not applicable","partial","Availability synthesis and Figure 4","Associates schedule context with in-game injury frequency; not a causal rest effect."
"AV04","Lewis2018","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A09","prediction","state-to-outcome","partial","partial","no","no","not applicable","no","partial","Availability synthesis and Figure 4","Pregame public-data risk model; no temporal external validation, intervention model, or calibrated decision utility."
"AV05","Cohan2021","availability","methodological study","FULL_TEXT","04-availability-evidence.csv:A10","prediction","state-to-outcome","partial","partial","no","no","not applicable","no","partial","Availability synthesis and Figure 4","Random-split injury classifier with extreme imbalance; temporal and decision validation are absent."
"AV06","Russell2021","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A15","measurement","observation-to-state","yes","yes","no","yes","not applicable","not applicable","no","Availability synthesis and Figure 4","Single-team workload study compares practice and game load; cross-team validation and physiological-capacity measurement remain limited. The no code concerns restricted public reproducibility; it does not establish the absence of internal auditability."
"AV07","Charest2021","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A22","measurement","exposure-to-state","yes","yes","partial","partial","not applicable","not applicable","yes","Availability synthesis and Figure 4","Travel and time-zone associations are reproducible proxies, not player-level health effects."
"AV08","Belk2017","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A16","causal or counterfactual estimation","action-to-outcome","no","partial","no","partial","not applicable","partial","partial","Availability intervention boundary and Figure 4","Matched retrospective rest study; small sample and selection prevent a strong causal conclusion."
"AV09","NakamuraSakai2024","availability","preprint","FULL_TEXT","04-availability-evidence.csv:A19","causal or counterfactual estimation","action-to-outcome","yes","yes","no","partial","not applicable","partial","partial","Availability intervention boundary and Figure 4","Heterogeneous rest-effect model; causal interpretation depends on unconfoundedness and no interference, and external validation remains unresolved."
"AV10","Herzog2026","availability","primary empirical study","FULL_TEXT","04-availability-evidence.csv:A14","causal or counterfactual estimation","action-to-outcome","yes","yes","partial","partial","not applicable","partial","no","Availability intervention boundary and Figure 4","No statistically significant regular-season injury-risk differences across rest/load-management groups for in-game injuries causing at least two consecutive missed games (Sections 2.3 and 3.1); observational comparison, not an identified individual rest effect. The no code concerns restricted public reproducibility; it does not establish the absence of internal auditability."
"DR01","Berri2011","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D03","prediction","state-to-outcome","no","partial","no","partial","partial","no","partial","Draft synthesis and Figure 4","Retrospective regressions relate pre-draft characteristics to draft position and later NBA production; no held-out predictive evaluation is reported (Sections 3-4, Tables 3 and 5-6). The prediction label records the modeling target, not validated forecast performance."
"DR02","BergerDaumann2021","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D05","measurement","signal-to-market belief","no","partial","no","partial","partial","not applicable","partial","Draft synthesis and Figure 4","Combine athleticism predicts selection more than later observed performance; missing tests and opportunity are selected."
"DR03","FisherMontague2025","draft / development","methodological study","FULL_TEXT","05-draft-evidence.csv:D08","prediction","public belief-to-selection","yes","partial","partial","partial","yes","partial","partial","Draft synthesis and Figure 4","Date-indexed public mock aggregation evaluates draft-order forecasts, not future NBA productivity or development effects; the historical corpus is not released (Sections 5-6)."
"DR04","IchniowskiPreston2017","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D09","causal or counterfactual estimation","information-to-market belief","yes","partial","no","partial","yes","partial","partial","Draft synthesis and Figure 4","Uses pre-tournament mock rank as a dated prior; private boards and later opportunity remain unobserved."
"DR05","StawHoang1995","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D01","measurement","selection-to-opportunity","no","partial","no","partial","no","not applicable","partial","Draft synthesis and Figure 4","Shows draft order is associated with later opportunity and survival; does not cleanly identify a sunk-cost mechanism."
"DR06","TaylorTrogdon2002","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D16","causal or counterfactual estimation","rule-to-behavior","yes","partial","no","partial","partial","partial","partial","Historical lottery evidence and Figure 4","Three-regime comparison supports incentive response but not directly observed intent."
"DR07","Price2010","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D17","causal or counterfactual estimation","rule-to-behavior","yes","partial","partial","partial","partial","partial","partial","Historical lottery evidence and Figure 4","Long-panel extension strengthens historical generalization while team intent and mechanism remain latent."
"DR08","SchmidtLottery2024","draft / development","primary empirical study","FULL_TEXT","05-draft-evidence.csv:D18","causal or counterfactual estimation","rule-to-roster-use","yes","partial","no","partial","partial","partial","partial","2019 lottery evidence and Figure 4","One-season-before/one-season-after portfolio analysis is informative but insufficient for a standalone causal policy claim."
"DR09","NBA2026Lottery","draft / development","official rule","OFFICIAL_RULE","05-draft-evidence.csv:D24","not applicable","rule-state definition","yes","not applicable","yes","yes","yes","not applicable","yes","Institutional environment and prospective agenda","Authoritative treatment definition only; zero completed treated seasons at the evidence cutoff."
"CR01","Ehrlich2019","contract / roster","primary empirical study","ABSTRACT_ONLY","06-contract-roster-evidence.csv:C03","measurement","performance-to-market price","not reported","partial","not reported","no","no","not applicable","not reported","Salary-literature scope and boundary","Abstract-level evidence only; used to identify the offense-defense wage question, not a decisive effect estimate."
"CR02","Wen2023","contract / roster","primary empirical study","FULL_TEXT","06-contract-roster-evidence.csv:C08","measurement","performance-to-contract outcome","no","partial","no","partial","no","not applicable","partial","Salary and contract synthesis and Figure 4","Observed contract salary, duration, and performance have specification checks but no predictive holdout; rejected terms and causal contract effects are not observed."
"CR03","Kaplan2024","contract / roster","primary empirical study","FULL_TEXT","06-contract-roster-evidence.csv:C14","causal or counterfactual estimation","rule-to-compensation distribution","partial","yes","partial","partial","partial","partial","yes","Contract synthesis and Figure 4","Counterfactual pay distribution under min/max constraints; league-wide consumer value is not team-specific contract value."
"CR04","Lautier2025","contract / roster","methodological study","FULL_TEXT","06-contract-roster-evidence.csv:C15","measurement","performance-and-salary-to-ROI","no","partial","no","no","no","not applicable","partial","Contract synthesis and Figure 4","Realized salary ROI is an accounting allocation with internal checks, not a signing-time forecast or independently validated marginal contract value."
"CR05","Brill2023","contract / roster","methodological study","FULL_TEXT","06-contract-roster-evidence.csv:C17","constrained prescription","state-to-acquisition candidate","partial","yes","partial","partial","no","not reported","partial","Acquisition synthesis and Figure 4","Prediction-based candidate ranking uses modeled lineup outcomes and a simplified salary filter; no held-out forecast or recommendation validation is reported (Sections 2-3). Legal and market availability remain unverified."
"CR06","MunizFlamand2023","contract / roster","methodological study","FULL_TEXT","06-contract-roster-evidence.csv:C19","constrained prescription","state-to-roster action","partial","partial","partial","partial","no","partial","partial","Roster synthesis and Figure 4","Mixed-integer roster construction demonstrates budget-feasible alternatives but omits the full CBA and counterpart choice."
"CR07","Ke2024","contract / roster","methodological study","ABSTRACT_ONLY","06-contract-roster-evidence.csv:C20","constrained prescription","state-to-roster action","not reported","not reported","not reported","partial","no","not reported","not reported","Roster-method scope only","Abstract-only record; does not carry a decisive field-level maturity judgment."
"CR08","MayminGM2017","contract / roster","methodological study","ABSTRACT_ONLY","06-contract-roster-evidence.csv:C21","constrained prescription","state-to-personnel action","not reported","not reported","not reported","partial","no","not reported","not reported","Roster-method scope only","Abstract-only record; draft, trade, and free-agency system is noted without treating reported performance as validated deployment."
"CR09","SchmidtTeamBuilding2021","contract / roster","primary empirical study","ABSTRACT_ONLY","06-contract-roster-evidence.csv:C24","measurement","market state-to-team-building risk","not reported","partial","not reported","no","partial","not reported","not reported","Risk and uncertainty framing only","Abstract-only record; supports the existence of a risk/uncertainty question, not a decision-readiness conclusion."
"CR10","Zhang2026","contract / roster","preprint","FULL_TEXT","06-contract-roster-evidence.csv:C25","constrained prescription","state-to-dynamic roster action","yes","yes","no","partial","no","partial","no","Dynamic roster synthesis and Figure 4","Rolling-horizon stochastic optimization is evaluated in a stylized simulation, not an audited NBA transaction environment."
"CR11","NBA2023CBA","contract / roster","official rule","OFFICIAL_RULE","06-contract-roster-evidence.csv:C27","not applicable","rule-state definition","yes","not applicable","yes","yes","not applicable","not applicable","yes","Institutional environment and action-feasibility boundary","Authoritative agreement defines legal states; it is not evidence that a provision caused an outcome."
"CR12","NBA2024CBA101","contract / roster","official rule","OFFICIAL_RULE","06-contract-roster-evidence.csv:C28","not applicable","rule-state explainer","yes","not applicable","yes","yes","not applicable","not applicable","yes","Institutional environment and timeline","Official explainer supplements but does not replace the signed CBA."
"FF01","Tashman2000","framework foundation","review","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","point-in-time and rolling-origin validation foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Forecast-evaluation foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF02","PearlBareinboim2014","framework foundation","methodological study","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","transportability and external-validity foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Transportability foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF03","Manski2003","framework foundation","methodological study","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","partial-identification foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Partial-identification foundation for hidden opportunity sets; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF04","SwaminathanJoachims2015","framework foundation","full conference paper","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","off-policy evaluation foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Logged-bandit and counterfactual-risk foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF05","Berger1985","framework foundation","methodological study","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","statistical decision-theory foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Decision-theory foundation for actions, uncertainty, utilities, and losses; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF06","Howard1966","framework foundation","methodological study","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","value-of-information foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Value-of-information foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF07","BertsimasBrownCaramanis2011","framework foundation","review","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","robust-optimization foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Robust-optimization foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
"FF08","BoydVandenberghe2004","framework foundation","methodological study","NOT_ASSESSED_FOR_NBA_SYNTHESIS","references-manual.tex","not applicable","constrained-optimization foundation","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","Framework rationale only","Constrained-optimization foundation; excluded from the NBA synthesis corpus and Figure 4 ratings."
